"year","season","mean.tmax","mean.precip"
1980,"Fall",15.6488095238095,2.26495726495726
1980,"Spring",19.2714371980676,3.5024154589372
1980,"Summer",28.5420440821256,3.03759057971015
1980,"Winter",3.88348765432099,2.01697530864198
1981,"Fall",14.2145146520147,2.16483516483516
1981,"Spring",19.5523852657005,2.99154589371981
1981,"Summer",26.6485507246377,3.79166666666667
1981,"Winter",5.01057098765432,1.96867283950617
1982,"Fall",16.0081654456654,3.23427960927961
1982,"Spring",19.1827445652174,4.37409420289855
1982,"Summer",26.5393266908213,2.91062801932367
1982,"Winter",5.76527777777778,2.88456790123457
1983,"Fall",15.2845695970696,4.87576312576313
1983,"Spring",17.2789100241546,4.97448671497585
1983,"Summer",29.1422856280193,2.73731884057971
1983,"Winter",5.27121913580247,2.76543209876543
1984,"Fall",15.9568070818071,2.66529304029304
1984,"Spring",18.9775060386473,4.11126207729469
1984,"Summer",26.4397644927536,4.42134661835749
1984,"Winter",7.12052469135802,3.02716049382716
1985,"Fall",16.9374236874237,5.84920634920635
1985,"Spring",20.7079559178744,2.71542874396135
1985,"Summer",26.7644927536232,3.06567028985507
1985,"Winter",5.09467592592593,1.75925925925926
1986,"Fall",15.9315476190476,2.74771062271062
1986,"Spring",21.0042270531401,2.02385265700483
1986,"Summer",26.9340277777778,3.20350241545894
1986,"Winter",5.90192901234568,2.27824074074074
1987,"Fall",15.4771062271062,2.59172771672772
1987,"Spring",19.336277173913,4.76705917874396
1987,"Summer",28.597297705314,3.67481884057971
1987,"Winter",5.8087962962963,2.95138888888889
1988,"Fall",14.6649877899878,2.21565934065934
1988,"Spring",18.7938556763285,3.40594806763285
1988,"Summer",28.7345259661836,2.60537439613527
1988,"Winter",6.42654320987654,1.41774691358025
1989,"Fall",15.2087912087912,3.26221001221001
1989,"Spring",19.3379378019324,4.9044384057971
1989,"Summer",26.6601751207729,3.99652777777778
1989,"Winter",5.78248456790123,2.10061728395062
1990,"Fall",17.4803876678877,3.72909035409035
1990,"Spring",19.2290911835749,4.01192632850242
1990,"Summer",27.539402173913,3.42225241545894
1990,"Winter",11.431712962963,3.07608024691358
1991,"Fall",16.89942002442,2.41544566544567
1991,"Spring",20.9606733091787,2.57955917874396
1991,"Summer",27.9557669082126,3.31219806763285
